Filament,Ultimate Strength(Mpa),Price (per kg),Density, Stiffness
ABS,40,25,1.04,5
Flexible,34.5,50,1.21,1
PLA,65,25,1.24,7.5
HIPS,32,28,1.035,10
PETG,53,40,1.23,5
Nylon,62.5,45,1.1,5
Carbon Fiber Filled,46.5,55,1.3,10
ASA,55,39,1.07,5
Polycarbonate,72,57.5,1.2, 6
Polypropylene,32,90,0.9,4
Metal Filled,25,85,3,10
Wood Filled,46,40,1.20,8
PVA,78,75,1.23,3
Flexible,26,50,1.21,1
Flexible,43,50,1.21,1
Carbon Fiber Filled,45,55,1.3,10
Carbon Fiber Filled,47,55,1.3,10
Metal Filled,20,85,3,10
Metal Filled,30,85,3,10
ABS,40,10,1.04,5
ABS,40,40,1.04,5
Flexible,34.5,30,1.19,1
Flexible,34.5,70,1.19,1
PLA,65,10,1.24,7.5
PLA,65,40,1.24,7.5
HIPS,32,24,1.035,10
HIPS,32,32,1.035,10
PETG,53,20,1.23,5
PETG,53,60,1.23,5
Nylon,62.5,25,1.0695,5
Nylon,62.5,65,1.0695,5
Carbon Fiber Filled,46.5,30,1.3,10
Carbon Fiber Filled,46.5,80,1.3,10
ASA,55,38,1.07,5
ASA,55,40,1.07,5
Polycarbonate,72,40,1.2, 6
Polycarbonate,72,75,1.2, 6
Polypropylene,32,60,0.9,4
Polypropylene,32,120,0.9,4
Metal Filled,25,50,3,10
Metal Filled,25,120,3,10
Wood Filled,46,25,1.20,8
Wood Filled,46,55,1.20,8
PVA,78,40,1.23,3
PVA,78,110,1.23,3
Flexible,34.5,50,1.19,1
Flexible,34.5,50,1.23,1
HIPS,32,28,1.03,10
HIPS,32,28,1.04,10
Nylon,62.5,45,1.06,5
Nylon,62.5,45,1.14,5
Wood Filled,46,40,1.15,8
Wood Filled,46,40,1.25,8
